HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
0,36224,3,3
1,4224,8,8
2,3680,31,31
3,672,58,58
4,704,85,85
5,736,112,112
6,736,139,139
7,704,166,166
8,672,193,193
9,768,220,220
10,704,247,247
11,672,274,274
12,672,301,301
13,672,328,328
14,672,355,355
15,672,382,382
16,672,409,409
17,672,436,436
18,672,463,463
19,672,490,490
20,672,517,517
21,672,544,544
22,672,571,571
23,640,598,598
24,640,625,625
25,640,652,652
26,672,679,679
27,672,706,706
28,640,733,733
29,704,760,760
30,640,787,787
31,640,814,814
32,672,841,841
33,640,868,868
34,672,895,895
35,672,922,922
36,640,949,949
37,640,976,976
38,640,1003,1003
39,640,1030,1030
40,672,1057,1057
41,640,1084,1084
42,672,1111,1111
43,640,1138,1138
44,640,1165,1165
45,672,1192,1192
46,2400,1199,1199
47,1536,1222,1222
48,704,1249,1249
49,736,1276,1276
50,736,1303,1303
51,672,1330,1330
52,736,1357,1357
53,736,1384,1384
54,704,1411,1411
55,736,1438,1438
56,736,1465,1465
57,672,1492,1492
58,672,1519,1519
59,640,1546,1546
60,672,1573,1573
61,672,1600,1600
62,704,1627,1627
63,640,1654,1654
64,672,1681,1681
65,672,1708,1708
66,672,1735,1735
67,672,1762,1762
68,640,1789,1789
69,640,1816,1816
70,640,1843,1843
71,672,1870,1870
72,672,1897,1897
73,640,1924,1924
74,672,1951,1951
75,640,1978,1978
76,640,2005,2005
77,640,2032,2032
78,672,2059,2059
79,640,2086,2086
80,640,2113,2113
81,640,2140,2140
82,640,2167,2167
83,640,2194,2194
84,640,2221,2221
85,640,2248,2248
86,640,2275,2275
87,672,2302,2302
88,640,2329,2329
89,640,2356,2356
90,672,2383,2383
91,2528,2390,2390
92,1440,2413,2413
93,736,2440,2440
94,640,2467,2467
95,672,2494,2494
96,832,2521,2521
97,768,2548,2548
98,736,2575,2575
99,704,2602,2602
100,704,2629,2629
101,736,2656,2656
102,672,2683,2683
103,672,2710,2710
104,672,2737,2737
105,672,2764,2764
106,672,2791,2791
107,640,2818,2818
108,672,2845,2845
109,640,2872,2872
110,640,2899,2899
111,672,2926,2926
112,672,2953,2953
113,800,2980,2980
114,640,3007,3007
115,640,3034,3034
116,640,3061,3061
117,640,3088,3088
118,672,3115,3115
119,672,3142,3142
120,672,3169,3169
121,672,3196,3196
122,672,3223,3223
123,640,3250,3250
124,672,3277,3277
